climate.location,weather_file
pv.array.use_wf_albedo,use_wf_albedo
pv.array.ground_reflectance,albedo
pv.array.radiation_type,irrad_mode
pv.array.tilt_radiation_model_type,sky_model
pv.array.post_derate,ac_derate
pv.array.modules_per_string,modules_per_string
pv.array.strings_in_parallel,strings_in_parallel
pv.array.inverter_count,inverter_count
pv.subarray.enable_mismatch_vmax_calc,enable_mismatch_vmax_calc
pv.subarray1.tilt,subarray1_tilt
pv.subarray1.tilt_eq_lat,subarray1_tilt_eq_lat
pv.subarray1.azimuth,subarray1_azimuth
pv.subarray1.tracking_type,subarray1_track_mode
pv.subarray1.rotlim,subarray1_rotlim
pv.subarray1.shade_mode_1x,subarray1_shade_mode_1x
pv.subarray1.gcr,subarray1_gcr
(null),subarray1_shading_hourly
(null),subarray1_shading_mxh
(null),subarray1_shading_azal
(null),subarray1_shading_diff
pv.subarray1.monthly_soiling,subarray1_soiling
pv.subarray1.total_dc_derate,subarray1_derate
pv.subarray2.enable,subarray2_enable
pv.subarray2.num_strings,subarray2_nstrings
pv.subarray2.tilt,subarray2_tilt
pv.subarray2.tilt_eq_lat,subarray2_tilt_eq_lat
pv.subarray2.azimuth,subarray2_azimuth
pv.subarray2.tracking_type,subarray2_track_mode
pv.subarray2.rotlim,subarray2_rotlim
pv.subarray2.shade_mode_1x,subarray2_shade_mode_1x
pv.subarray2.gcr,subarray2_gcr
(null),subarray2_shading_hourly
(null),subarray2_shading_mxh
(null),subarray2_shading_azal
(null),subarray2_shading_diff
pv.subarray2.monthly_soiling,subarray2_soiling
pv.subarray2.total_dc_derate,subarray2_derate
pv.subarray3.enable,subarray3_enable
pv.subarray3.num_strings,subarray3_nstrings
pv.subarray3.tilt,subarray3_tilt
pv.subarray3.tilt_eq_lat,subarray3_tilt_eq_lat
pv.subarray3.azimuth,subarray3_azimuth
pv.subarray3.tracking_type,subarray3_track_mode
pv.subarray3.rotlim,subarray3_rotlim
pv.subarray3.shade_mode_1x,subarray3_shade_mode_1x
pv.subarray3.gcr,subarray3_gcr
(null),subarray3_shading_hourly
(null),subarray3_shading_mxh
(null),subarray3_shading_azal
(null),subarray3_shading_diff
pv.subarray3.monthly_soiling,subarray3_soiling
pv.subarray3.total_dc_derate,subarray3_derate
pv.subarray4.enable,subarray4_enable
pv.subarray4.num_strings,subarray4_nstrings
pv.subarray4.tilt,subarray4_tilt
pv.subarray4.tilt_eq_lat,subarray4_tilt_eq_lat
pv.subarray4.azimuth,subarray4_azimuth
pv.subarray4.tracking_type,subarray4_track_mode
pv.subarray4.rotlim,subarray4_rotlim
pv.subarray4.shade_mode_1x,subarray4_shade_mode_1x
pv.subarray4.gcr,subarray4_gcr
(null),subarray4_shading_hourly
(null),subarray4_shading_mxh
(null),subarray4_shading_azal
(null),subarray4_shading_diff
pv.subarray4.monthly_soiling,subarray4_soiling
pv.subarray4.total_dc_derate,subarray4_derate
pv.mod.model_type,module_model
pv.mod.spe.area,spe_area
pv.mod.spe.rad0,spe_rad0
pv.mod.spe.rad1,spe_rad1
pv.mod.spe.rad2,spe_rad2
pv.mod.spe.rad3,spe_rad3
pv.mod.spe.rad4,spe_rad4
pv.mod.spe.eff0,spe_eff0
pv.mod.spe.eff1,spe_eff1
pv.mod.spe.eff2,spe_eff2
pv.mod.spe.eff3,spe_eff3
pv.mod.spe.eff4,spe_eff4
pv.mod.spe.reference,spe_reference
pv.mod.spe.module_structure,spe_module_structure
pv.mod.spe.a,spe_a
pv.mod.spe.b,spe_b
pv.mod.spe.dT,spe_dT
pv.mod.spe.temp_coeff,spe_temp_coeff
pv.mod.spe.fd,spe_fd
pv.mod.cec.a_c,cec_area
pv.mod.cec.a_ref,cec_a_ref
pv.mod.cec.adjust,cec_adjust
pv.mod.cec.alpha_sc,cec_alpha_sc
pv.mod.cec.beta_oc,cec_beta_oc
pv.mod.cec.gamma_pmp,cec_gamma_pmp
pv.mod.cec.i_l_ref,cec_i_l_ref
pv.mod.cec.i_mp_ref,cec_i_mp_ref
pv.mod.cec.i_o_ref,cec_i_o_ref
pv.mod.cec.i_sc_ref,cec_i_sc_ref
pv.mod.cec.n_s,cec_n_s
pv.mod.cec.r_s,cec_r_s
pv.mod.cec.r_sh_ref,cec_r_sh_ref
pv.mod.cec.t_noct,cec_t_noct
pv.mod.cec.v_mp_ref,cec_v_mp_ref
pv.mod.cec.v_oc_ref,cec_v_oc_ref
pv.mod.cec.temp_corr_mode,cec_temp_corr_mode
pv.mod.cec.standoff,cec_standoff
pv.mod.cec.height,cec_height
pv.mod.cec.mounting_config,cec_mounting_config
pv.mod.cec.heat_transfer,cec_heat_transfer
pv.mod.cec.mounting_orientation,cec_mounting_orientation
pv.mod.cec.gap_spacing,cec_gap_spacing
pv.mod.cec.module_width,cec_module_width
pv.mod.cec.module_length,cec_module_length
pv.mod.cec.array_rows,cec_array_rows
pv.mod.cec.array_cols,cec_array_cols
pv.mod.cec.backside_temp,cec_backside_temp
pv.mod.6par.type,6par_celltech
pv.mod.6par.vmp,6par_vmp
pv.mod.6par.imp,6par_imp
pv.mod.6par.voc,6par_voc
pv.mod.6par.isc,6par_isc
pv.mod.6par.bvoc,6par_bvoc
pv.mod.6par.aisc,6par_aisc
pv.mod.6par.gpmp,6par_gpmp
pv.mod.6par.nser,6par_nser
pv.mod.6par.area,6par_area
pv.mod.6par.tnoct,6par_tnoct
pv.mod.6par.standoff,6par_standoff
pv.mod.6par.mounting,6par_mounting
pv.mod.sandia.module_structure,snl_module_structure
pv.mod.sandia.a,snl_a
pv.mod.sandia.b,snl_b
pv.mod.sandia.dtc,snl_dtc
pv.mod.sandia.ref_a,snl_ref_a
pv.mod.sandia.ref_b,snl_ref_b
pv.mod.sandia.ref_dT,snl_ref_dT
pv.mod.sandia.fd,snl_fd
pv.mod.sandia.a0,snl_a0
pv.mod.sandia.a1,snl_a1
pv.mod.sandia.a2,snl_a2
pv.mod.sandia.a3,snl_a3
pv.mod.sandia.a4,snl_a4
pv.mod.sandia.aimp,snl_aimp
pv.mod.sandia.aisc,snl_aisc
pv.mod.sandia.area,snl_area
pv.mod.sandia.b0,snl_b0
pv.mod.sandia.b1,snl_b1
pv.mod.sandia.b2,snl_b2
pv.mod.sandia.b3,snl_b3
pv.mod.sandia.b4,snl_b4
pv.mod.sandia.b5,snl_b5
pv.mod.sandia.bvmpo,snl_bvmpo
pv.mod.sandia.bvoco,snl_bvoco
pv.mod.sandia.c0,snl_c0
pv.mod.sandia.c1,snl_c1
pv.mod.sandia.c2,snl_c2
pv.mod.sandia.c3,snl_c3
pv.mod.sandia.c4,snl_c4
pv.mod.sandia.c5,snl_c5
pv.mod.sandia.c6,snl_c6
pv.mod.sandia.c7,snl_c7
pv.mod.sandia.impo,snl_impo
pv.mod.sandia.isco,snl_isco
pv.mod.sandia.ixo,snl_ixo
pv.mod.sandia.ixxo,snl_ixxo
pv.mod.sandia.mbvmp,snl_mbvmp
pv.mod.sandia.mbvoc,snl_mbvoc
pv.mod.sandia.n,snl_n
pv.mod.sandia.series_cells,snl_series_cells
pv.mod.sandia.vmpo,snl_vmpo
pv.mod.sandia.voco,snl_voco
pv.inv.model_type,inverter_model
pv.inv.sandia.c0,inv_snl_c0
pv.inv.sandia.c1,inv_snl_c1
pv.inv.sandia.c2,inv_snl_c2
pv.inv.sandia.c3,inv_snl_c3
pv.inv.sandia.paco,inv_snl_paco
pv.inv.sandia.pdco,inv_snl_pdco
pv.inv.sandia.pnt,inv_snl_pnt
pv.inv.sandia.pso,inv_snl_pso
pv.inv.sandia.vdco,inv_snl_vdco
pv.inv.sandia.vdcmax,inv_snl_vdcmax
pv.inv.ds.paco,inv_ds_paco
pv.inv.ds.eff,inv_ds_eff
pv.inv.ds.pnt,inv_ds_pnt
pv.inv.ds.pso,inv_ds_pso
pv.inv.ds.vdco,inv_ds_vdco
pv.inv.ds.vdcmax,inv_ds_vdcmax
pv.inv.pd.paco,inv_pd_paco
pv.inv.pd.pdco,inv_pd_pdco
nOt A sAmsIm vArIAblE,inv_pd_partload
nOt A sAmsIm vArIAblE,inv_pd_efficiency
pv.inv.pd.pnt,inv_pd_pnt
pv.inv.pd.vdco,inv_pd_vdco
pv.inv.pd.vdcmax,inv_pd_vdcmax
pv.shading.utility.enabled,self_shading_enabled
pv.shading.utility.length,self_shading_length
pv.shading.utility.width,self_shading_width
pv.shading.utility.mod_orient,self_shading_mod_orient
pv.shading.utility.str_orient,self_shading_str_orient
pv.shading.utility.ncellx,self_shading_ncellx
pv.shading.utility.ncelly,self_shading_ncelly
pv.shading.utility.ndiode,self_shading_ndiode
pv.shading.utility.nmodx,self_shading_nmodx
pv.shading.utility.nstrx,self_shading_nstrx
pv.shading.utility.nmody,self_shading_nmody
pv.shading.utility.nrows,self_shading_nrows
pv.shading.utility.rowspace,self_shading_rowspace
pv.shading.utility.mask_angle_calc_method,self_shading_mask_angle_calc_method
